image_path,caption,emotion,age,gender,race
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\IMG_5225.JPG,they are two men standing next to each other smiling,happy,39,Man,black
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\IMG_9150.JPG,there is a man standing next to a tree with a cell phone in his hand,happy,26,Man,black
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\pexels-cottonbro-4100480.jpg,arafed young man sitting in a chair with a cell phone in his hand,sad,27,Man,white
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\pexels-italo-melo-881954-2379004.jpg,arafed man with a beard and a blue shirt smiling,happy,24,Man,latino hispanic
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\pexels-mikhail-nilov-6963848.jpg,woman sitting at a table with a laptop and calculator,sad,30,Woman,white
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\pexels-stefanstefancik-91227.jpg,arafed man with a smile on his face standing in front of a bush,happy,22,Man,white
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\WhatsApp_Image_2025-03-18_at_23.08.06_36f5107a.jpg,smiling man in red shirt holding a piece of paper with a thumb up,happy,24,Man,black
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\WhatsApp_Image_2025-03-18_at_23.14.03_1882bdf0.jpg,arafed man with curly hair and a white shirt smiling,happy,24,Man,indian
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\WhatsApp_Image_2025-03-18_at_23.39.32_3fa7b3bf.jpg,there is a man standing next to a motorcycle in front of a mural,neutral,30,Man,black
F:\photoshootapp\cma\photoshootapp\photoshootapp\media/photos/photographer_11\WhatsApp_Image_2025-03-18_at_23.42.00_ec76b23a.jpg,there is a man holding a bunch of balloons on his head,sad,35,Man,white
